暧昧,ai4mei4,vague;ambiguous;equivocal;dubious
拔苗助长,ba2miao2zhu4zhang3,to spoil things through excessive enthusiasm (idiom)
伴侣,ban4lv3,companion;mate;partner
保卫,bao3wei4,to defend;to safeguard
爆炸,bao4zha4,explosion;to explode;to blow up;to detonate
本身,ben3shen1,itself;in itself;per se
闭塞,bi4se4,stop up;close up;hard to get to;out of the way;inaccessible;unenlightened;blocking
辨认,bian4ren4,to recognize;to identify
别扭,bie4niu,awkward;difficult;uncomfortable;not agreeing;at loggerheads;gauche;awkward (writing or speech)
补偿,bu3chang2,compensate;make up
不时,bu4shi2,frequently;often;at any time
裁员,cai2yuan2,to cut staff;to lay off employees
操练,cao1lian4,drill;practice
柴油,chai2you2,diesel fuel
场所,chang3suo3,location;place
陈述,chen2shu4,an assertion;to declare;to state
乘务员,cheng2wu4yuan2,attendant on an airplane, train, boat etc
冲击,chong1ji1,an attack;under attack;a shock
出卖,chu1mai4,to offer for sale;to sell;to sell out or betray
传授,chuan2shou4,to impart;to pass on;to teach
刺,ci4,thorn;splinter;to stab;to pierce;to prick
答辩,da2bian4,to reply (to an accusation)
大致,da4zhi4,more or less;roughly;approximately
当前,dang1qian2,current;today's;modern;present;to be facing (us)
得力,de2li4,able;capable;competent;efficient
递增,di4zeng1,to increase by degrees;in increasing order;incremental;progressive
盯,ding1,to watch attentively;to fix attention on;to stare;to gaze;to follow;to shadow sb
动手,dong4shou3,to hit with hands or fists;to start work;to touch
短促,duan3cu4,short in time;fleeting;brief
哆嗦,duo1suo,to tremble;to shiver;uncontrolled shaking of the body
发射,fa1she4,to shoot (a projectile);to fire (a rocket);to launch;to emit (a particle);to discharge;emanation;emission
反感,fan3gan3,to be disgusted with;to dislike;bad reaction;antipathy
防止,fang2zhi3,to prevent;to guard against;to take precautions
分寸,fen1cun,propriety;appropriate behavior;proper speech or action;within the norms
风度,feng1du4,elegance (for men);elegant demeanor;grace;poise
敷衍,fu1yan3,to elaborate (on a theme);to expound (the classics);perfunctory;to skimp;to botch;to do sth half-heartedly or just for show;barely enough to get by
覆盖,fu4gai4,to cover
干预,gan1yu4,to meddle;to intervene;intervention
高涨,gao1zhang3,upsurge;(tensions etc) run high
跟随,gen1sui2,to follow
攻克,gong1ke4,to capture;to take
钩子,gou1zi,hook
故障,gu4zhang4,malfunction;breakdown;defect;shortcoming;fault;failure;impediment;error;bug (in software)
归根到底,gui1gen1dao4di3,(saying) to sum it up...
过问,guo4wen4,to show an interest in;to get involved with
毫无,hao2wu2,not in the least;none whatsoever;completely without
痕迹,hen2ji4,vestige;mark;trace
候选,hou4xuan3,candidate
欢乐,huan1le4,gaiety;gladness;glee;merriment;pleasure;happy;joyous;gay
悔恨,hui3hen4,remorse;repentance
或许,huo4xu3,perhaps;maybe
即便,ji2bian4,even if;even though;right away;immediately
继承,ji4cheng2,to inherit;to carry on;to succeed
加剧,jia1ju4,to intensify;to sharpen;to accelerate;to aggravate;to exacerbate;to embitter
兼职,jian1zhi2,to hold concurrent posts;part-time;concurrent job;moonlighting
健全,jian4quan2,robust;strong
娇气,jiao1qi4,delicate;squeamish;finicky
结晶,jie2jing1,crystallization;crystalline;crystal
尽量,jin3liang4,as much as possible;to the greatest extent
精华,jing1hua2,best feature;most important part of an object;quintessence;essence;soul
境界,jing4jie4,boundary;state;realm
局面,ju2mian4,aspect;phase;situation
军队,jun1dui4,army troops;CL:支[zhi1],個|个[ge4]
看望,kan4wang4,to visit;to pay a call to
客户,ke4hu4,client;customer
口音,kou3yin1,accent
捆绑,kun3bang3,to bind
乐意,le4yi4,to be willing to do sth;to be ready to do sth;to be happy to do sth;content;satisfied
立交桥,li4jiao1qiao2,overpass;flyover
良心,liang2xin1,conscience
领悟,ling3wu4,to understand;to comprehend
轮船,lun2chuan2,steamship;CL:艘[sou1]
码头,ma3tou2,dock;pier;wharf;CL:個|个[ge4]
茂盛,mao4sheng4,lush
迷人,mi2ren2,fascinating;enchanting;charming;tempting
敏感,min3gan3,sensitive;susceptible;politically sensitive (pretext for censorship)
模型,mo2xing2,model;mould;matrix;pattern
难能可贵,nan2neng2ke3gui4,rare and commendable;estimable
扭转,niu3zhuan3,to reverse;to turn around (an undesirable situation)
攀登,pan1deng1,to climb;to pull oneself up;to clamber;to scale;fig. to forge ahead in the face of hardships and danger
批判,pi1pan4,criticize;CL:個|个[ge4]
贫乏,pin2fa2,lack;incomplete
泼,po1,to splash;to spill;rough and coarse;brutish
旗袍,qi2pao2,Chinese-style dress;cheongsam
器材,qi4cai2,equipment;material
签订,qian1ding4,to agree to and sign (a treaty etc)
桥梁,qiao2liang2,bridge;fig. connection between two areas
倾听,qing1ting1,to listen attentively
屈服,qu1fu2,to surrender;to yield
缺席,que1xi2,absence;absent
人格,ren2ge2,personality;integrity;dignity
日新月异,ri4xin1yue4yi4,daily renewal, monthly change (idiom);every day sees new developments;rapid progress
丧失,sang4shi1,to lose;to forfeit
上游,shang4you2,upper reaches;advanced position
呻吟,shen1yin2,to moan;to groan
生理,sheng1li3,physiology
施加,shi1jia1,to exert (effort or pressure)
实事求是,shi2shi4qiu2shi4,to seek truth from facts (idiom);to be practical and realistic
逝世,shi4shi4,to pass away;to die
守护,shou3hu4,to guard;to protect
树立,shu4li4,to set up;to establish
斯文,si1wen,refined;educate;cultured;intellectual;polite;gentle
算数,suan4shu4,to count numbers;to keep to one's word;to hold (i.e. to remain valid);to count (i.e. to be important)
摊儿,tan1r,street vendor's stall or stand
特定,te4ding4,special;specific;designated;particular
舔,tian3,to lick;to lap
挺拔,ting3ba2,tall and straight
图案,tu2an4,design;pattern
妥当,tuo3dang,appropriate;proper;ready
顽固,wan2gu4,stubborn;obstinate
威望,wei1wang4,prestige
位于,wei4yu2,to be located at;to be situated at;to lie
无动于衷,wu2dong4yu2zhong1,aloof;indifferent;unconcerned
务必,wu4bi4,must;to need to;to be sure to
喜悦,xi3yue4,happy;joyous
嫌,xian2,to dislike;suspicion;resentment;enmity;abbr. for 嫌犯|嫌犯[xian2 fan4], criminal suspect
镶嵌,xiang1qian4,to inlay;to embed;to set (e.g. a jewel in a ring);tiling;tesselation
小气,xiao3qi,stingy;petty;miserly;narrow-minded
新郎,xin1lang2,bridegroom;groom
兴高采烈,xing1gao1cai3lie4,happy and excited (idiom);in high spirits;in great delight
羞耻,xiu1chi3,(a feeling of) shame
宣扬,xuan1yang2,to proclaim;to make public or well known
寻觅,xun2mi4,to look for
言论,yan2lun4,speech;expression of opinion;public opinion
演绎,yan3yi4,to deduce;to infer
要素,yao4su4,essential factor;key constituent
衣裳,yi1shang,clothes
亦,yi4,also
隐瞒,yin3man2,to conceal;to hide (a taboo subject);to cover up the truth
拥有,yong1you3,to have;to possess
幼稚,you4zhi4,young;childish;naive
寓言,yu4yan2,fable;CL:則|则[ze2]
酝酿,yun4niang4,(of alcohol) to ferment;(of a crisis) to be brewing;to mull over (an issue);to hold exploratory discussions
赞同,zan4tong2,to approve of;to endorse;(vote) in favor;trad. also written 贊同
眨,zha3,wink
占有,zhan4you3,to have;to own;to hold;to possess
折磨,zhe2mo2,to persecute;to torment
争夺,zheng1duo2,fight over;contest;vie over
证书,zheng4shu1,credentials;certificate
职能,zhi2neng2,function;role
智力,zhi4li4,intelligence;intellect
衷心,zhong1xin1,heartfelt;wholehearted;cordial
皱纹,zhou4wen2,wrinkle;CL:道[dao4]
铸造,zhu4zao4,to cast (pour metal into a mold)
装备,zhuang1bei4,equipment;to equip;to outfit
资产,zi1chan3,property;assets
总和,zong3he2,sum
尊严,zun1yan2,dignity;sanctity;honor;majesty
