安详,an1xiang2,serene
把戏,ba3xi4,acrobatics;jugglery;cheap trick;game
扮演,ban4yan3,play the part of;act
保重,bao3zhong4,take care of oneself
悲惨,bei1can3,miserable;tragic
笨拙,ben4zhuo1,clumsy;awkward;stupid
边疆,bian1jiang1,border area;borderland;frontier;frontier region
辩证,bian4zheng4,investigate;dialectical
并存,bing4cun2,to exist at the same time;to coexist
补贴,bu3tie1,to subsidize;subsidy;allowance
不惜,bu4xi1,not stint;not spare;not hesitate (to do sth);not scruple (to do sth)
采集,cai3ji2,to gather;to collect;to harvest
嘈杂,cao2za2,noisy;clamorous
缠绕,chan2rao4,twisting;to twine;to wind;to pester;to bother
畅销,chang4xiao1,best seller;chart-topping
沉着,chen2zhuo2,steady;calm and collected;not nervous
成心,cheng2xin1,intentional;deliberate;on purpose
冲突,chong1tu1,conflict;to conflict;clash of opposing forces;collision (of interests);contention
出息,chu1xi,promise;prospects;future
床单,chuang2dan1,sheet;CL:條|条[tiao2],件[jian4],張|张[zhang1],床[chuang2]
次序,ci4xu4,sequence;order
打包,da3bao1,to wrap;to pack;to ask for a doggy bag (at a restaurant)
代价,dai4jia4,price;cost;consideration (in share dealing)
当心,dang1xin1,to take care;to look out
蹬,deng1,to tread on;to step on
颠倒,dian1dao3,to turn upside-down;to reverse;back-to-front;confused;deranged;crazy
定义,ding4yi4,definition
动员,dong4yuan2,mobilize;arouse;CL:次[ci4],個|个[ge4]
断绝,duan4jue2,to sever;to break off
额外,e2wai4,extra;added;additional
发炎,fa1yan2,inflamed from infection or injury;inflammation
反面,fan3mian4,reverse side of sth;opposite side of some topic;the other side
放大,fang4da4,to enlarge;to magnify
分解,fen1jie3,to resolve;to decompose;to break down
锋利,feng1li4,sharp (e.g. knife blade);incisive;to the point
福利,fu2li4,(material) welfare;well-being
附件,fu4jian4,enclosure;attachment (email);appendix
干劲,gan4jin4,enthusiasm for doing sth
告诫,gao4jie4,to warn;to admonish
耕地,geng1di4,arable land;to plow land
公婆,gong1po2,husband's parents;parents-in-law
辜负,gu1fu4,to fail to live up (to expectations);unworthy (of trust);to let down;to betray (hopes);to disappoint
官方,guan1fang1,official;(by the) government
归纳,gui1na4,to sum up;to summarize;to conclude from facts;induction (method of deduction in logic)
嗨,hai1,oh alas;hey!;hi! (loanword)
号召,hao4zhao4,to call;to appeal
哼,heng1,to groan;to snort;to hum;to croon;humph!
呼吁,hu1yu4,to call on (sb to do sth);to appeal (to);an appeal
缓和,huan3he2,to ease (tension);to alleviate;to moderate;to allay;to make more mild
贿赂,hui4lu4,to bribe;a bribe
饥饿,ji1e4,hunger;starvation;famine
嫉妒,ji2du4,to be jealous;to envy;to hate
计较,ji4jiao4,to haggle;to bicker;to argue
家喻户晓,jia1yu4hu4xiao3,understood by everyone (idiom);well known;a household name
简化,jian3hua4,simplify
见闻,jian4wen2,what one sees and hears;knowledge;information
交易,jiao1yi4,(business) transaction;business deal;CL:筆|笔[bi3]
截至,jie2zhi4,up to (a time);by (a time)
锦绣前程,jin3xiu4qian2cheng2,a bright future;a rosy future;brilliant prospects
精密,jing1mi4,accuracy;exact;precise;refined
镜头,jing4tou2,camera shot (in a movie etc);scene
举动,ju3dong4,act;action;activity;move;movement
开除,kai1chu2,to expel
考古,kao3gu3,archaeology
恳切,ken3qie4,earnest;sincere
苦尽甘来,ku3jin4gan1lai2,bitterness finishes, sweetness begins (idiom);the hard times are over, the good times just beginning
扩张,kuo4zhang1,expansion;dilation;to expand (e.g. one's power or influence);to broaden
冷淡,leng3dan4,cold;indifferent
力所能及,li4suo3neng2ji2,as far as one's capabilities extend (idiom);to the best of one's ability;within one's powers
辽阔,liao2kuo4,vast;extensive
溜,liu1,to slip away;to escape in stealth;to skate
论坛,lun4tan2,forum (for discussion)
埋没,mai2mo4,oblivion
媒体,mei2ti3,media, esp. news media
密度,mi4du4,density;thickness
名次,ming2ci4,position in a ranking of names
默默,mo4mo4,in silence;not speaking
内幕,nei4mu4,inside story;non-public information;behind the scenes;internal
奴隶,nu2li4,slave
判决,pan4jue2,judgment (by a court of law)
疲倦,pi2juan4,to tire;tired
频率,pin2lv4,frequency
迫害,po4hai4,to persecute;persecution
齐心协力,qi2xin1xie2li4,to work with a common purpose (idiom);to make concerted efforts;to pull together;to work as one
器官,qi4guan1,organ (part of body tissue);apparatus
签署,qian1shu3,to sign (an agreement)
切实,qie4shi2,feasible;earnestly;conscientiously;realistic;practical
倾斜,qing1xie2,to incline;to lean;to slant;to slope;to tilt
驱逐,qu1zhu2,to expel;to deport;banishment
确保,que4bao3,to ensure;to guarantee
人间,ren2jian1,man's world;the world
容貌,rong2mao4,one's appearance;one's aspect;looks;features
刹车,sha1che1,to brake (when driving);to stop;to switch off;to check (bad habits);a brake
哨,shao4,a whistle;sentry
神情,shen2qing2,look;expression
生疏,sheng1shu1,unfamiliar;strange;out of practice;not accustomed
施展,shi1zhan3,to use fully;to put to use
时装,shi2zhuang1,the latest fashion in clothes;fashionable
示威,shi4wei1,to demonstrate (as a protest);a demonstration;a military show of force
手艺,shou3yi4,craftmanship;workmanship;handicraft;trade
衰老,shuai1lao3,to age;to deteriorate with age;old and weak
死亡,si3wang2,death;deadly
随手,sui2shou3,conveniently;without extra trouble;while doing it;in passing
坦白,tan3bai2,honest;forthcoming;to confess
题材,ti2cai2,subject matter
调剂,tiao2ji4,to adjust;to balance;to make up a medical prescription
通用,tong1yong4,common (use);interchangeable
涂抹,tu2mo3,to paint;to smear;to doodle
椭圆,tuo3yuan2,oval;ellipse;elliptic
玩意儿,wan2yi4r,toy;plaything;thing;act;trick (in a performance, stage show, acrobatics etc)
维持,wei2chi2,to keep;to maintain;to preserve
文凭,wen2ping2,diploma
无可奉告,wu2ke3feng4gao4,(idiom) no comment
物美价廉,wu4mei3jia4lian2,cheap and fine;attractive in price and quality
系列,xi4lie4,series
衔接,xian2jie1,to join together;to combine
想方设法,xiang3fang1she4fa3,to think up every possible method (idiom);to devise ways and means;to try this, that and the other
肖像,xiao4xiang4,portrait
辛勤,xin1qin2,hardworking;industrious
刑事,xing2shi4,criminal;penal
修理,xiu1li3,to repair;to perform maintenance;to overhaul;to fix;to prune;to trim
悬念,xuan2nian4,suspense in a movie, play etc;concern for sb's welfare
压迫,ya1po4,to oppress;to repress;to constrict;oppression;stress (physics)
炎热,yan2re4,blistering hot;sizzling hot (weather)
厌恶,yan4wu4,to loath;to hate;disgusted with sth
野心,ye3xin1,ambition;wild schemes;careerism
一向,yi1xiang4,all along;the whole time;constantly;earlier;lately
毅力,yi4li4,perseverance;willpower
隐私,yin3si1,secrets;sth one hopes to conceal
勇于,yong3yu2,to dare to;to be brave enough to
愚昧,yu2mei4,ignorant;uneducated
原告,yuan2gao4,complainant;plaintiff
孕育,yun4yu4,to be pregnant;to produce offspring;to nurture (a development, school of thought, artwork etc);fig. replete with (culture etc)
遭受,zao1shou4,to suffer;to sustain (loss, misfortune)
债券,zhai4quan4,bond;debenture
障碍,zhang4ai4,barrier;obstruction;hindrance;impediment;obstacle
珍稀,zhen1xi1,rare;precious and uncommon
争气,zheng1qi4,to work hard for sth;to resolve on improvement;determined not to fall short
症状,zheng4zhuang4,symptom (of an illness)
指标,zhi3biao1,norm;index;target
智能,zhi4neng2,intelligent;able;smart (phone, system, bomb etc)
肿瘤,zhong3liu2,tumor
诸位,zhu1wei4,(pron) everyone;Ladies and Gentlemen;Sirs
注重,zhu4zhong4,to pay attention to;to emphasize
庄重,zhuang1zhong4,grave;solemn;dignified
滋味,zi1wei4,taste;flavor;feeling
走漏,zou3lou4,to leak (of information, liquid etc);to divulge
做东,zuo4dong1,to act as host
